home_team,away_team,home_score,home_penalty,away_score,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Round,Date,Referee,Host,Year
Brazil,Mexico,2,,0,,Tite,Thiago Silva,Juan Carlos Osorio,Rafael Márquez,41970,Cosmos Arena- Samara,Round of 16,43283,Gianluca Rocchi,Russia,2018
Belgium,Japan,3,,2,,Roberto Martínez,Eden Hazard,Akira Nishino,Makoto Hasebe,41466,Rostov Arena- Rostov-na-Donu,Round of 16,43283,Malang Diédhiou,Russia,2018
Spain,Russia,1,3,1,4,Fernando Hierro,Sergio Ramos,Stanislav Cherchesov,Igor Akinfeev,78011,Olimpiyskiy stadion Luzhniki- Moskva,Round of 16,43282,Björn Kuipers,Russia,2018
Croatia,Denmark,1,3,1,2,Zlatko Dalić,Luka Modrić,Åge Hareide,Simon Kjær,40851,Stadion Nizhny Novgorod- Nizhny Novgorod,Round of 16,43282,Néstor Pitana,Russia,2018
France,Argentina,4,,3,,Didier Deschamps,Hugo Lloris,Jorge Sampaoli,Lionel Messi,42873,Kazan Arena- Kazan,Round of 16,43281,Alireza Faghani,Russia,2018
Uruguay,Portugal,2,,1,,Óscar Tabárez,Diego Godín,Fernando Santos,Cristiano Ronaldo,44287,Olimpiyskiy Stadion Fisht- Sochi,Round of 16,43281,César Arturo Ramos,Russia,2018
Japan,Poland,0,,1,,Akira Nishino,Eiji Kawashima,Adam Nawałka,Robert Lewandowski,42189,Volgograd Arena- Volgograd,Group stage,43279,Janny Sikazwe,Russia,2018
Senegal,Colombia,0,,1,,Aliou Cissé,Cheikhou Kouyaté,José Pekerman,Radamel Falcao,41970,Cosmos Arena- Samara,Group stage,43279,Milorad Mažić,Russia,2018
England,Belgium,0,,1,,Gareth Southgate,Eric Dier,Roberto Martínez,Thibaut Courtois,33973,Kaliningrad Stadium- Kaliningrad,Group stage,43279,Damir Skomina,Russia,2018
Panama,Tunisia,1,,2,,Hernán Darío Gómez,Román Torres,Nabil Maâloul,Aymen Mathlouthi,37168,Mordovia Arena- Saransk,Group stage,43279,Nawaf Shukralla,Russia,2018
Korea Republic,Germany,2,,0,,Shin Taeyong,Son Heung-min,Joachim Löw,Manuel Neuer,41835,Kazan Arena- Kazan,Group stage,43278,Mark Geiger,Russia,2018
Mexico,Sweden,0,,3,,Juan Carlos Osorio,Andrés Guardado,Janne Andersson,Robin Olsen,33061,Stadion Central'nyj- Yekaterinburg,Group stage,43278,Néstor Pitana,Russia,2018
Switzerland,Costa Rica,2,,2,,Vladimir Petković,Stephan Lichtsteiner,Oscar Ramírez,Bryan Ruiz,43319,Stadion Nizhny Novgorod- Nizhny Novgorod,Group stage,43278,Clément Turpin,Russia,2018
Serbia,Brazil,0,,2,,Mladen Krstajić,Aleksandar Kolarov,Tite,Miranda,44190,Otkrytie Arena- Moskva,Group stage,43278,Alireza Faghani,Russia,2018
Australia,Peru,0,,2,,Bert van Marwijk,Mile Jedinak,Ricardo Gareca,Paolo Guerrero,44073,Olimpiyskiy Stadion Fisht- Sochi,Group stage,43277,Sergey Karasev,Russia,2018
Denmark,France,0,,0,,Åge Hareide,Simon Kjær,Didier Deschamps,Raphaël Varane,78011,Olimpiyskiy stadion Luzhniki- Moskva,Group stage,43277,Sandro Ricci,Russia,2018
Iceland,Croatia,1,,2,,Heimir Hallgrímsson,Aron Gunnarsson,Zlatko Dalić,Luka Modrić,43472,Rostov Arena- Rostov-na-Donu,Group stage,43277,Antonio Matéu Lahoz,Russia,2018
Nigeria,Argentina,1,,2,,Gernot Rohr,John Obi Mikel,Jorge Sampaoli,Lionel Messi,64468,Gazprom Arena- Sankt-Petersburg,Group stage,43277,Cüneyt Çakιr,Russia,2018
Saudi Arabia,Egypt,2,,1,,Juan Antonio Pizzi,Osama Hawsawi,Héctor Cúper,Essam El-Hadary,36823,Volgograd Arena- Volgograd,Group stage,43276,Wilmar Roldán,Russia,2018
Uruguay,Russia,3,,0,,Óscar Tabárez,Diego Godín,Stanislav Cherchesov,Igor Akinfeev,41970,Cosmos Arena- Samara,Group stage,43276,Malang Diédhiou,Russia,2018
Spain,Morocco,2,,2,,Fernando Hierro,Sergio Ramos,Hervé Renard,M'barek Boussoufa,33973,Kaliningrad Stadium- Kaliningrad,Group stage,43276,Ravshan Irmatov,Russia,2018
IR Iran,Portugal,1,,1,,Carlos Queiroz,Ehsan Hajsafi,Fernando Santos,Cristiano Ronaldo,41685,Mordovia Arena- Saransk,Group stage,43276,Enrique Cáceres,Russia,2018
England,Panama,6,,1,,Gareth Southgate,Harry Kane,Hernán Darío Gómez,Román Torres,43319,Stadion Nizhny Novgorod- Nizhny Novgorod,Group stage,43275,Gehad Grisha,Russia,2018
Japan,Senegal,2,,2,,Akira Nishino,Makoto Hasebe,Aliou Cissé,Sadio Mané,32572,Stadion Central'nyj- Yekaterinburg,Group stage,43275,Gianluca Rocchi,Russia,2018
Poland,Colombia,0,,3,,Adam Nawałka,Robert Lewandowski,José Pekerman,Radamel Falcao,42873,Kazan Arena- Kazan,Group stage,43275,César Arturo Ramos,Russia,2018
Belgium,Tunisia,5,,2,,Roberto Martínez,Eden Hazard,Nabil Maâloul,Wahbi Khazri,44190,Otkrytie Arena- Moskva,Group stage,43274,Jair Marrufo,Russia,2018
Korea Republic,Mexico,1,,2,,Shin Taeyong,Cho Hyun-woo,Juan Carlos Osorio,Guillermo Ochoa,43472,Rostov Arena- Rostov-na-Donu,Group stage,43274,Milorad Mažić,Russia,2018
Germany,Sweden,2,,1,,Joachim Löw,Manuel Neuer,Janne Andersson,Andreas Granqvist,44287,Olimpiyskiy Stadion Fisht- Sochi,Group stage,43274,Szymon Marciniak,Russia,2018
Brazil,Costa Rica,2,,0,,Tite,Thiago Silva,Oscar Ramírez,Bryan Ruiz,64468,Gazprom Arena- Sankt-Petersburg,Group stage,43273,Björn Kuipers,Russia,2018
Nigeria,Iceland,2,,0,,Gernot Rohr,John Obi Mikel,Heimir Hallgrímsson,Aron Gunnarsson,40904,Volgograd Arena- Volgograd,Group stage,43273,Matt Conger,Russia,2018
Serbia,Switzerland,1,,2,,Mladen Krstajić,Aleksandar Kolarov,Vladimir Petković,Stephan Lichtsteiner,33167,Kaliningrad Stadium- Kaliningrad,Group stage,43273,Felix Brych,Russia,2018
Denmark,Australia,1,,1,,Åge Hareide,Simon Kjær,Bert van Marwijk,Mile Jedinak,40727,Cosmos Arena- Samara,Group stage,43272,Antonio Matéu Lahoz,Russia,2018
France,Peru,1,,0,,Didier Deschamps,Hugo Lloris,Ricardo Gareca,Paolo Guerrero,32789,Stadion Central'nyj- Yekaterinburg,Group stage,43272,Mohammed Abdulla Hassan,Russia,2018
Argentina,Croatia,0,,3,,Jorge Sampaoli,Lionel Messi,Zlatko Dalić,Luka Modrić,43319,Stadion Nizhny Novgorod- Nizhny Novgorod,Group stage,43272,Ravshan Irmatov,Russia,2018
Portugal,Morocco,1,,0,,Fernando Santos,Cristiano Ronaldo,Hervé Renard,Medhi Benatia,78011,Olimpiyskiy stadion Luzhniki- Moskva,Group stage,43271,Mark Geiger,Russia,2018
Uruguay,Saudi Arabia,1,,0,,Óscar Tabárez,Diego Godín,Juan Antonio Pizzi,Osama Hawsawi,42678,Rostov Arena- Rostov-na-Donu,Group stage,43271,Clément Turpin,Russia,2018
IR Iran,Spain,0,,1,,Carlos Queiroz,Ehsan Hajsafi,Fernando Hierro,Sergio Ramos,42718,Kazan Arena- Kazan,Group stage,43271,Andrés Cunha,Russia,2018
Colombia,Japan,1,,2,,José Pekerman,Radamel Falcao,Akira Nishino,Makoto Hasebe,40842,Mordovia Arena- Saransk,Group stage,43270,Damir Skomina,Russia,2018
Poland,Senegal,1,,2,,Adam Nawałka,Robert Lewandowski,Aliou Cissé,Sadio Mané,44190,Otkrytie Arena- Moskva,Group stage,43270,Nawaf Shukralla,Russia,2018
Russia,Egypt,3,,1,,Stanislav Cherchesov,Igor Akinfeev,Héctor Cúper,Ahmed Fathy,64468,Gazprom Arena- Sankt-Petersburg,Group stage,43270,Enrique Cáceres,Russia,2018
Sweden,Korea Republic,1,,0,,Janne Andersson,Robin Olsen,Shin Taeyong,Ki Sung-yueng,42300,Stadion Nizhny Novgorod- Nizhny Novgorod,Group stage,43269,Joel Aguilar,Russia,2018
Belgium,Panama,3,,0,,Roberto Martínez,Eden Hazard,Hernán Darío Gómez,Román Torres,43257,Olimpiyskiy Stadion Fisht- Sochi,Group stage,43269,Janny Sikazwe,Russia,2018
Tunisia,England,1,,2,,Nabil Maâloul,Wahbi Khazri,Gareth Southgate,Harry Kane,41064,Volgograd Arena- Volgograd,Group stage,43269,Wilmar Roldán,Russia,2018
Costa Rica,Serbia,0,,1,,Oscar Ramírez,Bryan Ruiz,Mladen Krstajić,Aleksandar Kolarov,41432,Cosmos Arena- Samara,Group stage,43268,Malang Diédhiou,Russia,2018
Germany,Mexico,0,,1,,Joachim Löw,Manuel Neuer,Juan Carlos Osorio,Andrés Guardado,78011,Olimpiyskiy stadion Luzhniki- Moskva,Group stage,43268,Alireza Faghani,Russia,2018
Brazil,Switzerland,1,,1,,Tite,Marcelo,Vladimir Petković,Stephan Lichtsteiner,43109,Rostov Arena- Rostov-na-Donu,Group stage,43268,César Ramos,Russia,2018
France,Australia,2,,1,,Didier Deschamps,Hugo Lloris,Bert van Marwijk,Mile Jedinak,41279,Kazan Arena- Kazan,Group stage,43267,Andrés Cunha,Russia,2018
Argentina,Iceland,1,,1,,Jorge Sampaoli,Lionel Messi,Heimir Hallgrímsson,Aron Gunnarsson,44190,Otkrytie Arena- Moskva,Group stage,43267,Szymon Marciniak,Russia,2018
Peru,Denmark,0,,1,,Ricardo Gareca,Alberto Rodríguez,Åge Hareide,Simon Kjær,40502,Mordovia Arena- Saransk,Group stage,43267,Bakary Papa Gassama,Russia,2018
Croatia,Nigeria,2,,0,,Zlatko Dalić,Luka Modrić,Gernot Rohr,John Obi Mikel,31136,Kaliningrad Stadium- Kaliningrad,Group stage,43267,Sandro Ricci,Russia,2018
Egypt,Uruguay,0,,1,,Héctor Cúper,Ahmed Fathy,Óscar Tabárez,Diego Godín,27015,Stadion Central'nyj- Yekaterinburg,Group stage,43266,Björn Kuipers,Russia,2018
Morocco,IR Iran,0,,1,,Hervé Renard,Medhi Benatia,Carlos Queiroz,Masoud Shojaei,62548,Gazprom Arena- Sankt-Petersburg,Group stage,43266,Cüneyt Çakιr,Russia,2018
Portugal,Spain,3,,3,,Fernando Santos,Cristiano Ronaldo,Fernando Hierro,Sergio Ramos,43866,Olimpiyskiy Stadion Fisht- Sochi,Group stage,43266,Gianluca Rocchi,Russia,2018
Russia,Saudi Arabia,5,,0,,Stanislav Cherchesov,Igor Akinfeev,Juan Antonio Pizzi,Osama Hawsawi,78011,Olimpiyskiy stadion Luzhniki- Moskva,Group stage,43265,Néstor Pitana,Russia,2018
Germany,Argentina,1,,0,,Joachim Löw,,Alejandro Sabella,,74738,Estadio Jornalista Mário Filho- Rio de Janeiro,Final,41833,Nicola Rizzoli,Brazil,2014
Brazil,Netherlands,0,,3,,Luiz Felipe Scolari,,Louis van Gaal,,68034,Estádio Nacional de Brasília- Brasília,Third-place match,41832,Djamel Haïmoudi,Brazil,2014
Netherlands,Argentina,0,2,0,4,Louis van Gaal,,Alejandro Sabella,,63267,Arena Corinthians- São Paulo,Semi-finals,41829,Cüneyt Çakιr,Brazil,2014
Brazil,Germany,1,,7,,Luiz Felipe Scolari,,Joachim Löw,,58141,Estádio Governador Magalhães Pinto- Belo Horizonte,Semi-finals,41828,Marco Antonio Rodríguez,Brazil,2014
Argentina,Belgium,1,,0,,Alejandro Sabella,,Marc Wilmots,,68551,Estádio Nacional de Brasília- Brasília,Quarter-finals,41825,Nicola Rizzoli,Brazil,2014
Netherlands,Costa Rica,0,4,0,3,Louis van Gaal,,Jorge Luis Pinto,,51179,Itaipava Arena Fonte Nova- Salvador,Quarter-finals,41825,Ravshan Irmatov,Brazil,2014
France,Germany,0,,1,,Didier Deschamps,,Joachim Löw,,74240,Estadio Jornalista Mário Filho- Rio de Janeiro,Quarter-finals,41824,Néstor Pitana,Brazil,2014
Brazil,Colombia,2,,1,,Luiz Felipe Scolari,,José Pekerman,,60342,Estádio Castelão- Fortaleza,Quarter-finals,41824,Carlos Velasco,Brazil,2014
Argentina,Switzerland,1,,0,,Alejandro Sabella,,Ottmar Hitzfeld,,63255,Arena Corinthians- São Paulo,Round of 16,41821,Jonas Eriksson,Brazil,2014
Belgium,United States,2,,1,,Marc Wilmots,,Jürgen Klinsmann,,51227,Itaipava Arena Fonte Nova- Salvador,Round of 16,41821,Djamel Haïmoudi,Brazil,2014
France,Nigeria,2,,0,,Didier Deschamps,,Stephen Keshi,,67882,Estádio Nacional de Brasília- Brasília,Round of 16,41820,Mark Geiger,Brazil,2014
Germany,Algeria,2,,1,,Joachim Löw,,Vahid Halilhodžić,,43063,Estádio José Pinheiro Borba- Porto Alegre,Round of 16,41820,Sandro Ricci,Brazil,2014
Netherlands,Mexico,2,,1,,Louis van Gaal,,Miguel Herrera,,58817,Estádio Castelão- Fortaleza,Round of 16,41819,Pedro Proença,Brazil,2014
